Date : 2026-01-24 18:26:42
Directory : /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode
Total : 1122 files,  1165357 codes, 206681 comments, 93290 blanks, all 1465328 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_cortex.h                                                       | C++          |        186 |        181 |         55 |        422 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_crc.h                                                          | C++          |         78 |        213 |         52 |        343 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_crc_ex.h                                                       | C++          |         28 |         95 |         28 |        151 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_cryp.h                                                         | C++          |        211 |        298 |        142 |        651 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_cryp_ex.h                                                      | C++          |         16 |         88 |         27 |        131 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_dac.h                                                          | C++          |        219 |        307 |        113 |        639 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_dac_ex.h                                                       | C++          |        203 |         92 |         51 |        346 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_def.h                                                          | C++          |        108 |         75 |         29 |        212 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_dma.h                                                          | C++          |        450 |        275 |        128 |        853 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_dma_ex.h                                                       | C++          |         95 |        113 |         57 |        265 |
