Date : 2026-01-24 18:26:42
Directory : /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode
Total : 1122 files,  1165357 codes, 206681 comments, 93290 blanks, all 1465328 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| Drivers/CMSIS/DSP/Examples/ARM/arm_dotproduct_example/RTE/Device                                                                                                               |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_dotproduct_example/RTE/Device/ARMCM0                                                                                                        |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_dotproduct_example/RTE/Device/ARMCM3                                                                                                        |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_dotproduct_example/RTE/Device/ARMCM4_FP                                                                                                     |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_dotproduct_example/RTE/Device/ARMCM7_SP                                                                                                     |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fft_bin_example                                                                                                                             |         10 |        813 |        388 |        215 |      1,416 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fft_bin_example (Files)                                                                                                                     |          2 |        287 |        151 |         30 |        468 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fft_bin_example/RTE                                                                                                                         |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fft_bin_example/RTE/Device                                                                                                                  |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fft_bin_example/RTE/Device/ARMCM0                                                                                                           |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fft_bin_example/RTE/Device/ARMCM3                                                                                                           |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fft_bin_example/RTE/Device/ARMCM4_FP                                                                                                        |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fft_bin_example/RTE/Device/ARMCM7_SP                                                                                                        |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fir_example                                                                                                                                 |         12 |        887 |        643 |        318 |      1,848 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fir_example (Files)                                                                                                                         |          4 |        361 |        406 |        133 |        900 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fir_example/RTE                                                                                                                             |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fir_example/RTE/Device                                                                                                                      |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fir_example/RTE/Device/ARMCM0                                                                                                               |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fir_example/RTE/Device/ARMCM3                                                                                                               |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fir_example/RTE/Device/ARMCM4_FP                                                                                                            |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_fir_example/RTE/Device/ARMCM7_SP                                                                                                            |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_graphic_equalizer_example                                                                                                                   |         12 |      1,009 |        670 |        347 |      2,026 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_graphic_equalizer_example (Files)                                                                                                           |          4 |        483 |        433 |        162 |      1,078 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_graphic_equalizer_example/RTE                                                                                                               |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_graphic_equalizer_example/RTE/Device                                                                                                        |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_graphic_equalizer_example/RTE/Device/ARMCM0                                                                                                 |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_graphic_equalizer_example/RTE/Device/ARMCM3                                                                                                 |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_graphic_equalizer_example/RTE/Device/ARMCM4_FP                                                                                              |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_graphic_equalizer_example/RTE/Device/ARMCM7_SP                                                                                              |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_linear_interp_example                                                                                                                       |         12 |     24,372 |        618 |        311 |     25,301 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_linear_interp_example (Files)                                                                                                               |          4 |     23,846 |        381 |        126 |     24,353 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_linear_interp_example/RTE                                                                                                                   |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_linear_interp_example/RTE/Device                                                                                                            |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_linear_interp_example/RTE/Device/ARMCM0                                                                                                     |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_linear_interp_example/RTE/Device/ARMCM3                                                                                                     |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_linear_interp_example/RTE/Device/ARMCM4_FP                                                                                                  |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_linear_interp_example/RTE/Device/ARMCM7_SP                                                                                                  |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_matrix_example                                                                                                                              |         11 |        821 |        575 |        317 |      1,713 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_matrix_example (Files)                                                                                                                      |          3 |        295 |        338 |        132 |        765 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_matrix_example/RTE                                                                                                                          |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_matrix_example/RTE/Device                                                                                                                   |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_matrix_example/RTE/Device/ARMCM0                                                                                                            |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_matrix_example/RTE/Device/ARMCM3                                                                                                            |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_matrix_example/RTE/Device/ARMCM4_FP                                                                                                         |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_matrix_example/RTE/Device/ARMCM7_SP                                                                                                         |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_signal_converge_example                                                                                                                     |         12 |      1,029 |        646 |        334 |      2,009 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_signal_converge_example (Files)                                                                                                             |          4 |        503 |        409 |        149 |      1,061 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_signal_converge_example/RTE                                                                                                                 |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_signal_converge_example/RTE/Device                                                                                                          |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_signal_converge_example/RTE/Device/ARMCM0                                                                                                   |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_signal_converge_example/RTE/Device/ARMCM3                                                                                                   |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_signal_converge_example/RTE/Device/ARMCM4_FP                                                                                                |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_signal_converge_example/RTE/Device/ARMCM7_SP                                                                                                |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_sin_cos_example                                                                                                                             |          9 |        568 |        331 |        211 |      1,110 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_sin_cos_example (Files)                                                                                                                     |          1 |         42 |         94 |         26 |        162 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_sin_cos_example/RTE                                                                                                                         |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_sin_cos_example/RTE/Device                                                                                                                  |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_sin_cos_example/RTE/Device/ARMCM0                                                                                                           |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_sin_cos_example/RTE/Device/ARMCM3                                                                                                           |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_sin_cos_example/RTE/Device/ARMCM4_FP                                                                                                        |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_sin_cos_example/RTE/Device/ARMCM7_SP                                                                                                        |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_variance_example                                                                                                                            |         10 |        619 |        359 |        242 |      1,220 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_variance_example (Files)                                                                                                                    |          2 |         93 |        122 |         57 |        272 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_variance_example/RTE                                                                                                                        |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_variance_example/RTE/Device                                                                                                                 |          8 |        526 |        237 |        185 |        948 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_variance_example/RTE/Device/ARMCM0                                                                                                          |          2 |        117 |         57 |         43 |        217 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_variance_example/RTE/Device/ARMCM3                                                                                                          |          2 |        127 |         60 |         46 |        233 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_variance_example/RTE/Device/ARMCM4_FP                                                                                                       |          2 |        140 |         60 |         48 |        248 |
| Drivers/CMSIS/DSP/Examples/ARM/arm_variance_example/RTE/Device/ARMCM7_SP                                                                                                       |          2 |        142 |         60 |         48 |        250 |
| Drivers/CMSIS/DSP/Examples/ARM/boot                                                                                                                                            |          1 |          3 |          0 |          2 |          5 |
| Drivers/CMSIS/DSP/Include                                                                                                                                                      |          3 |      3,363 |      3,316 |      1,129 |      7,808 |
| Drivers/CMSIS/DSP/PythonWrapper                                                                                                                                                |          3 |     10,820 |        331 |      4,880 |     16,031 |
| Drivers/CMSIS/DSP/PythonWrapper/cmsisdsp_pkg                                                                                                                                   |          3 |     10,820 |        331 |      4,880 |     16,031 |
| Drivers/CMSIS/DSP/PythonWrapper/cmsisdsp_pkg/src                                                                                                                               |          3 |     10,820 |        331 |      4,880 |     16,031 |
| Drivers/CMSIS/DSP/Source                                                                                                                                                       |        294 |     86,233 |     29,493 |     14,455 |    130,181 |
| Drivers/CMSIS/DSP/Source (Files)                                                                                                                                               |          1 |        185 |          0 |         39 |        224 |
| Drivers/CMSIS/DSP/Source/BasicMathFunctions                                                                                                                                    |         37 |      1,739 |      2,287 |        900 |      4,926 |
| Drivers/CMSIS/DSP/Source/CommonTables                                                                                                                                          |          4 |     56,679 |        851 |        237 |     57,767 |
| Drivers/CMSIS/DSP/Source/ComplexMathFunctions                                                                                                                                  |         20 |      1,221 |      1,231 |        545 |      2,997 |
| Drivers/CMSIS/DSP/Source/ControllerFunctions                                                                                                                                   |         10 |        199 |        446 |        119 |        764 |
